SKU Code,Diamond Size(Round),Diamond Count(Round),Diamond Size(Baguette),Diamond Count(Baguette),Diamond Size(Marquise),Diamond Count(Marquise),Diamond Size(Pear),Diamond Count(Pear),Diamond Size(Heart),Diamond Count(Heart),Length,Width,Diamond Wt,Volume,Casting wt.,Reduction,18KT wt.(Gm)
,,,,,,,,,,,,,,,,,
ER-17093,1.9,16.0,,,,,,,,,25.46,14.58,0.88,428.23,6.723211,1.3446422,5.3785688
,1.8,2.0,,,,,,,,,,,,,,,
,1.3,4.0,,,,,,,,,,,,,,,
,1.2,52.0,,,,,,,,,,,,,,,
,1.0,16.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17094,1.3,14.0,,,,,,,,,10.21,9.21,0.49,181.95,2.8566149999999997,0.5713229999999999,2.2852919999999997
,,,2.8 * 1.4,10.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17095,1.5,10.0,,,,,,,,,39.2,6.1,0.74,361.43,5.6744509999999995,1.1348901999999998,4.539560799999999
,1.0,108.0,,,,,,,,,,,,,,,
,,,2.5 * 1.25,8.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17096,0.9,72.0,,,,,,,,,16.78,5.47,5.47,402.59,6.320662999999999,1.2641326,5.056530399999999
,,,,,,,,,,,,,,,,,
ER-17097,2.2,2.0,,,,,,,,,13.68,6.82,0.6,147.31,2.312767,0.4625534,1.8502136
,1.7,6.0,,,,,,,,,,,,,,,
,,,2.75 * 1.25,14.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17098,1.7,2.0,,,,,,,,,13.66,13.11,0.44,245.07,3.8475989999999998,0.7695198,3.0780792
,1.6,10.0,,,,,,,,,,,,,,,
,1.5,10.0,,,,,,,,,,,,,,,
,1.3,10.0,,,,,,,,,,,,,,,
,1.0,10.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17099,1.6,10.0,,,,,,,,,26.52,9.57,0.49,325.6,5.11192,1.022384,4.089536
,1.5,2.0,,,,,,,,,,,,,,,
,1.4,4.0,,,,,,,,,,,,,,,
,1.3,8.0,,,,,,,,,,,,,,,
,1.25,10.0,,,,,,,,,,,,,,,
,1.2,20.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17100,2.0,2.0,,,,,,,,,10.06,8.94,0.31,190.8,2.99556,0.599112,2.396448
,1.3,21.0,,,,,,,,,,,,,,,
,1.2,11.0,,,,,,,,,,,,,,,
,1.1,2.0,,,,,,,,,,,,,,,
