SKU Code,Shape,Diamond Size(Round) mm,Diamond Count(Round),Diamond Size(Princes) mm,Diamond Count(Princes),Diamond Size(Cushion) mm,Diamond Count(Cushion),Diamond Size(Oval) mm,Diamond Count(Oval),Diamond Size(Emerald) mm,Diamond Count(Emerald),Diamond Size(Radiant) mm,Diamond Count(Radiant),Diamond size (Asscher) mm,Diamond count (Asscher),Diamond Size(Heart) mm,Diamond Count(Heart),Diamond Size(Marquise) mm,Diamond Count(Marquise),Diamond Size(Pear) mm,Diamond Count(Pear),Length,Width,Diamond Wt,Volume,Casting wt.,Reduction,18KT wt.(Gm)
,,1.4,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19011(1.50),Round,7.0,1.0,,,,,,,,,,,,,,,,,,,21.15,7.0,1.47,224.87,3.5304589999999996,0.7060917999999999,2.8243671999999997
,,1.4,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19011(2.00),Round,7.5,1.0,,,,,,,,,,,,,,,,,,,21.15,7.82,1.93,238.84,3.7497879999999997,0.7499576,2.9998303999999996
,,1.4,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19012(0.50),Princess,1.25,20.0,3.75,1.0,,,,,,,,,,,,,,,,,21.15,4.09,0.48,196.5,3.08505,0.6170100000000001,2.46804
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19012(1.00),Princess,1.4,27.0,5.0,1.0,,,,,,,,,,,,,,,,,21.15,5.19,1.06,217.86,3.4204019999999997,0.6840804,2.7363215999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19012(1.50),Princess,1.4,18.0,6.0,1.0,,,,,,,,,,,,,,,,,21.15,6.04,1.54,234.86,3.687302,0.7374604,2.9498416
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19012(2.00),Princess,1.4,18.0,6.7,1.0,,,,,,,,,,,,,,,,,21.15,6.7,2.07,250.33,3.9301809999999997,0.7860362,3.1441448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19013(0.50),Cushion,1.25,20.0,,,4.0,1.0,,,,,,,,,,,,,,,21.15,4.2,0.48,194.02,3.0461139999999998,0.6092228,2.4368912
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19013(1.00),Cushion,1.4,18.0,,,5.25,1.0,,,,,,,,,,,,,,,21.15,5.47,0.9,214.96,3.374872,0.6749744,2.6998976
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19013(1.50),Cushion,1.4,18.0,,,6.0,1.0,,,,,,,,,,,,,,,21.15,6.07,1.31,223.68,3.511776,0.7023552,2.8094208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19013(2.00),Cushion,1.4,18.0,,,6.7,1.0,,,,,,,,,,,,,,,21.15,6.7,1.74,235.01,3.6896569999999995,0.7379313999999999,2.9517255999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19014(0.50),Oval,1.25,20.0,,,,,5.8 * 3.8,1.0,,,,,,,,,,,,,21.15,5.84,0.46,195.65,3.0717049999999997,0.614341,2.4573639999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19014(1.00),Oval,1.4,18.0,,,,,7 * 5,1.0,,,,,,,,,,,,,21.15,7.0,0.85,210.78,3.309246,0.6618492,2.6473968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19014(1.50),Oval,1.4,18.0,,,,,8 * 6,1.0,,,,,,,,,,,,,21.15,8.11,1.27,225.39,3.5386229999999994,0.7077245999999999,2.8308983999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19014(2.00),Oval,1.4,18.0,,,,,8.75 * 6.75,1.0,,,,,,,,,,,,,21.15,8.76,1.64,231.68,3.6373759999999997,0.7274752,2.9099008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19015(0.50),Emerald,1.25,20.0,,,,,,,5.3 * 3.3,1.0,,,,,,,,,,,21.15,5.49,0.48,196.05,3.077985,0.6155970000000001,2.462388
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19015(1.00),Emerald,1.4,18.0,,,,,,,6.5 * 4.5,1.0,,,,,,,,,,,21.15,6.57,0.95,214.4,3.3660799999999997,0.673216,2.6928639999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19015(1.50),Emerald,1.4,18.0,,,,,,,7.3 * 5.3,1.0,,,,,,,,,,,21.15,7.36,1.31,228.89,3.5935729999999997,0.7187146,2.8748584
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19015(2.00),Emerald,1.4,18.0,,,,,,,8 * 6,1.0,,,,,,,,,,,21.15,8.0,1.87,240.42,3.7745939999999996,0.7549188,3.0196751999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19016(0.50),Asscher,1.25,20.0,,,,,,,,,,,4.0,1.0,,,,,,,21.15,4.16,0.47,192.44,3.021308,0.6042616000000001,2.4170464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19016(1.00),Asscher,1.4,18.0,,,,,,,,,,,5.0,1.0,,,,,,,21.15,5.03,0.82,209.03,3.2817709999999995,0.6563542,2.6254167999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19016(1.50),Asscher,1.4,18.0,,,,,,,,,,,6.0,1.0,,,,,,,21.15,6.21,1.29,224.19,3.519783,0.7039566,2.8158263999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19016(2.00),Asscher,1.4,18.0,,,,,,,,,,,6.75,1.0,,,,,,,21.15,6.85,1.75,241.29,3.7882529999999996,0.7576506,3.0306024
