SKU Code,Diamond Size(mm),Diamond Count,Diamond Size (Cushion),Diamond Count.1,Diamond Size (Princess),Diamond Count.2,Diamond Size (Baguette),Diamond Count.3,Diamond Size (Marquise),Diamond Count.4,Diamond Size (Radiant),Diamond Count.5,Diamond Size (Heart),Diamond Count.6,Diamond Size (Pear),Diamond Count.7,Diamond Size (Emerald),Diamond Count.8,Diamond Size (Oval),Diamond Count.9,Length(mm),Width(mm),Diamond Wt.(Cts),Volume,Casting wt.,0.2,18KT wt.(Gm)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-35(0.50),4.1,2.0,,,,,,,,,,,,,,,,,,,4.2,,0.52,64.74,1.0164179999999998,0.20328359999999998,0.8131343999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-35(1.00),5.1,2.0,,,,,,,,,,,,,,,,,,,5.2,,1.01,90.95,1.4279149999999998,0.285583,1.142332
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-35(1.50),5.8,2.0,,,,,,,,,,,,,,,,,,,5.94,,1.46,120.29,1.888553,0.3777106,1.5108424
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-35(2.00),6.5,2.0,,,,,,,,,,,,,,,,,,,6.55,,2.06,116.35,1.8266949999999997,0.36533899999999997,1.4613559999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-36(0.50),3.5,2.0,,,,,,,,,,,,,,,,,,,6.1,3.58,0.54,58.37,0.9164089999999999,0.1832818,0.7331272
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-36(1.00),4.4,2.0,,,,,,,,,,,,,,,,,,,7.64,4.49,1.09,84.9,1.33293,0.266586,1.066344
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-36(1.50),5.0,2.0,,,,,,,,,,,,,,,,,,,8.68,5.1,1.52,111.86,1.7562019999999998,0.3512404,1.4049615999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-36(2.00),5.5,2.0,,,,,,,,,,,,,,,,,,,9.46,5.63,2.08,127.36,1.9995519999999998,0.3999104,1.5996415999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-37(0.50),3.6,2.0,,,,,,,,,,,,,,,,,,,3.71,,0.47,60.56,0.950792,0.1901584,0.7606336
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-37(1.00),4.9,2.0,,,,,,,,,,,,,,,,,,,5.07,5.07,1.25,91.51,1.436707,0.2873414,1.1493655999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-37(1.50),5.25,2.0,,,,,,,,,,,,,,,,,,,5.44,,1.5,105.79,1.660903,0.33218060000000005,1.3287224
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-37(2.00),5.5,2.0,,,,,,,,,,,,,,,,,,,,5.7,1.72,118.61,1.8621769999999997,0.37243539999999997,1.4897415999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-38(0.50),,,,,,,,,,,,,,,,,,,5.00 * 3.50,2.0,5.04,3.57,0.4,58.12,0.9124839999999999,0.1824968,0.7299871999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-38(1.00),,,,,,,,,,,,,,,,,,,6.00 * 4.00,2.0,6.01,4.08,0.73,77.56,1.217692,0.24353840000000002,0.9741536
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-38(1.50),,,,,,,,,,,,,,,,,,,7.00 * 5.00,2.0,7.07,5.14,1.32,104.9,1.64693,0.329386,1.317544
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-38(2.00),,,,,,,,,,,,,,,,,,,8.00 * 5.50,2.0,8.09,5.65,2.0,130.36,2.046652,0.4093304,1.6373216
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-39(0.50),,,,,,,,,,,,,,,,,4.50 * 3.00,2.0,,,4.66,3.16,0.47,59.64,0.936348,0.1872696,0.7490783999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-39(1.00),,,,,,,,,,,,,,,,,5.50 * 4.00,2.0,,,5.7,4.2,0.98,85.32,1.3395239999999997,0.26790479999999994,1.0716191999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
