Style no,18kt Gold wt (gms),Diamond wt (Ct),Round Dimond (mm),Count,Cushion (mm),Count.1,Pear (mm),Count.2,Emerald (mm),Count.3,Princess (mm),Count.4,Oval (mm),Count.5,Trillion (mm),Count.6,Baguette (mm),Count.7,Marquise (mm),Count.8
,,,2.1,14.0,,,,,,,,,,,,,,,,
DOC -  0170,3.76,0.95,1.6,18.0,,,,,,,,,,,,,,,,
,,,1.3,16.0,,,,,,,,,,,,,,,,
,,,5.4,1.0,,,,,,,,,,,,,,,,
DOC -  0171,7.23,5.11,,,,,,,11x9,1.0,,,,,,,,,,
DOC -  0172,11.88,1.76,1.0,266.0,,,,,,,3.8,2.0,,,,,,,,
DOC -  0173,7.01,2.41,2.6,12.0,,,,,,,,,8.8x6.6,1.0,,,,,,
,,,1.6,10.0,,,,,,,,,,,,,,,,
DOC -  0174,4.4,1.62,8.0,1.0,,,,,,,,,,,,,,,,
DOC -  0175,4.45,1.39,,,6.7x6.4,1.0,,,,,,,,,,,,,,
DOC -  0176,4.13,0.61,,,,,,,,,,,,,,,,,,
DOC -  0177,3.18,0.42,1.6,19.0,,,,,,,,,,,,,,,,
,,,3.3,1.0,,,,,,,,,,,,,,,,
DOC -  0178,4.8,1.2,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0179,4.04,1.2,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0180,4.04,1.2,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0181,4.08,1.2,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0182,4.12,1.2,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0183,4.55,1.21,1.5,2.0,,,,,,,,,,,,,,,,
,,,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0184,7.24,1.19,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0185,4.25,1.19,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0186,4.45,1.19,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0187,5.3,1.56,1.8,8.0,,,,,,,,,7.3x5.2,1.0,,,3.1x1.9,4.0,,
,,,1.1,20.0,,,,,,,,,,,,,2.4x1.9,8.0,,
DOC -  0188,8.65,3.06,1.0,60.0,,,,,,,,,,,9.3x9.9,1.0,,,,
,,,1.1,124.0,,,,,,,,,,,,,,,,
DOC -  0189,4.35,1.74,4.0,2.0,,,,,,,,,8.1x6.1,1.0,,,,,,
DOC -  0190,4.56,2.16,1.5,16.0,,,,,7.5x5.4,1.0,,,,,,,4.5x2.8,2.0,,
,,,1.7,14.0,,,,,,,,,,,,,,,,
DOC -  0191,2.77,1.01,5.5,1.0,,,,,,,,,,,,,,,,
,,,1.0,8.0,,,,,,,,,,,,,,,,
,,,1.6,12.0,,,,,,,,,,,,,,,,
,,,1.3,16.0,,,,,,,,,,,,,,,,
DOC -  0192,6.6,7.06,1.9,22.0,9.7x9.7,1.0,,,,,,,,,,,,,,
,,,1.2,36.0,,,,,,,,,,,,,,,,
,,,2.2,15.0,,,,,,,,,,,,,,,,
