SKU Code,Diamond Size(mm),Diamond Count,Diamond (Baguette),Diamond Count.1,Diamond (Pear),Diamond Count.2,Diamond (Princess),Diamond Count.3,Diamond (Cushion),Diamond Count.4,Diamond (Oval),Diamond Count.5,Diamond (Emerald),Diamond Count.6,Diamond (Heart),Diamond Count.7,Diamond (Radiant),Diamond Count.8,Diamond (Marquise),Diamond Count.9,Length(mm),Width(mm),Diamond Wt,Volume,Casting Gold Wt(18kt),Est.Final Gold Wt(18kt)
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15041 Size 1,,,,,,,,,,,,,3.7*3.7,1.0,,,,,,,7.63,4.08,0.31,32.7,0.51339,0.410712
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15041 Size 2,,,,,,,,,,,,,4.4*4.4,1.0,,,,,,,9.24,4.87,0.52,47.7,0.74889,0.599112
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15041 Size 3,,,,,,,,,,,,,5.5*5.5,1.0,,,,,,,10.76,5.82,1.0,76.19,1.196183,0.9569464
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15041 Size 4,,,,,,,,,,,,,6.4*6.4,1.0,,,,,,,12.04,6.7,1.6,102.64,1.611448,1.2891584
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15042 Size 1,,,,,,,,,,,,,,,4.2*4.2,1.0,,,,,9.15,4.33,0.27,34.46,0.541022,0.4328176
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15042 Size 2,,,,,,,,,,,,,,,5.4*5.4,1.0,,,,,10.79,5.6,0.57,54.28,0.852196,0.6817568
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15042 Size 3,,,,,,,,,,,,,,,6.7*6.7,1.0,,,,,12.55,6.96,1.07,77.36,1.214552,0.9716416
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15042 Size 4,,,,,,v,,,,,,,,,7.6*7.6,1.0,,,,,13.91,7.9,1.64,104.61,1.642377,1.3139016
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15043 Size 1,,,,,,,,,,,,,,,,,3.5*3,1.0,,,7.63,4.03,0.11,27.04,0.424528,0.3396224
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15043 Size 2,,,,,,,,,,,,,,,,,5*4.5,1.0,,,9.55,4.61,0.47,46.61,0.731777,0.5854216
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15043 Size 3,,,,,,,,,,,,,,,,,6*5.5,1.0,,,11.14,5.7,0.91,83.83,1.316131,1.0529048
