Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: _custom_product_text_field
variation,17022-Ye-26,Celestia Spark Hoops - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 4.908448g | Diamond Weight: 0.61 carats,,,taxable,,1,10,2,0,0,4.91,,,,0,,,49820.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/17022-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-Y4.jpg",,,PARENT-17-17022,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 4.908448g | Gold Purity: 18kt | Diamond Weight: 0.61 ct | Diamond Count: 74 | Diamond Shapes: nan | Diamond Quality: nan
variation,17022-Ye-27,Celestia Spark Hoops - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 4.908448g | Diamond Weight: 0.61 carats,,,taxable,,1,10,2,0,0,4.91,,,,0,,,57170.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/17022-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-Y4.jpg",,,PARENT-17-17022,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 4.908448g | Gold Purity: 18kt | Diamond Weight: 0.61 ct | Diamond Count: 74 | Diamond Shapes: nan | Diamond Quality: nan
variable,PARENT-18-17023,Luna Dew Hoops,1,0,visible,Category: Earrings | 1.33 ct diamonds | 5.779735199999999g gold,<br><br><strong>Diamond Details:</strong><br>• Total Weight: 1.33 carats<br>• Count: 10 diamonds<br>• Shapes: nan<br>• Quality: nan<br><br><br><strong>Gold Specifications:</strong><br>• Weight: 5.779735199999999 grams<br>• Purity: 18kt<br>,,,taxable,,1,,,0,0,5.78,,,,1,,,,Earrings,"nan Quality, Earrings, Rose Gold, nan Diamond",,https://rareregalia.com/wp-content/uploads/2025/07/17023-R3.jpg,,,,,,,,,0,Metal Type,Rose Gold,1,1,Rose Gold,Metal Karat,14kt,1,1,14kt,,,0,1,,Style Number: nan | Gold Weight: 5.779735199999999g | Gold Purity: 18kt | Diamond Weight: 1.33 ct | Diamond Count: 10 | Diamond Shapes: nan | Diamond Quality: nan
variation,17023-Ro-28,Luna Dew Hoops - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 5.779735199999999g | Diamond Weight: 1.33 carats,,,taxable,,1,10,2,0,0,5.78,,,,0,,,,,,,https://rareregalia.com/wp-content/uploads/2025/07/17023-R3.jpg,,,PARENT-18-17023,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 5.779735199999999g | Gold Purity: 18kt | Diamond Weight: 1.33 ct | Diamond Count: 10 | Diamond Shapes: nan | Diamond Quality: nan
variable,PARENT-19-17027,Soleil Spark Hoops,1,0,visible,Category: Earrings | 0.46 ct diamonds | 3.0789583999999994g gold,<br><br><strong>Diamond Details:</strong><br>• Total Weight: 0.46 carats<br>• Count: 10 diamonds<br>• Shapes: nan<br>• Quality: nan<br><br><br><strong>Gold Specifications:</strong><br>• Weight: 3.0789583999999994 grams<br>• Purity: 18kt<br>,,,taxable,,1,,,0,0,3.08,,,,1,,,,Earrings,"nan Quality, Earrings, Rose Gold, nan Diamond",,https://rareregalia.com/wp-content/uploads/2025/07/17027-R3.jpg,,,,,,,,,0,Metal Type,Rose Gold,1,1,Rose Gold,Metal Karat,14kt,1,1,14kt,,,0,1,,Style Number: nan | Gold Weight: 3.0789583999999994g | Gold Purity: 18kt | Diamond Weight: 0.46 ct | Diamond Count: 10 | Diamond Shapes: nan | Diamond Quality: nan
variation,17027-Ro-29,Soleil Spark Hoops - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 3.0789583999999994g | Diamond Weight: 0.46 carats,,,taxable,,1,10,2,0,0,3.08,,,,0,,,,,,,https://rareregalia.com/wp-content/uploads/2025/07/17027-R3.jpg,,,PARENT-19-17027,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 3.0789583999999994g | Gold Purity: 18kt | Diamond Weight: 0.46 ct | Diamond Count: 10 | Diamond Shapes: nan | Diamond Quality: nan
variable,PARENT-2-14078,Lumière Gold Tennis Bracelet,1,0,visible,"Category: Bracelet, Bracelet > Tennis Bracelet | 3.358 ct diamonds | 14.1933024g gold","<br><br><strong>Diamond Details:</strong><br>• Total Weight: 3.358 carats<br>• Count: 1 diamonds<br>• Shapes: Round<br>• Quality: VS<br><br><br><strong>Gold Specifications:</strong><br>• Weight: 14.1933024 grams<br>• Purity: 18kt<br><br><br><strong>Available Options:</strong><br>• Metal Types: Rose Gold, White Gold, Yellow Gold<br>",,,taxable,,1,,,0,0,14.19,,,,1,,,146892.0 - 174092.0,"Bracelet, Bracelet > Tennis Bracelet","Round Diamond, Rose Gold, Bracelet, VS Quality, Bracelet  Tennis Bracelet",,"https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R4.jpg",,,,,,,,,0,Metal Type,Rose Gold | White Gold | Yellow Gold,1,1,Rose Gold,Metal Karat,14kt,1,1,14kt,,,0,1,,Style Number: TB-14078 | Gold Weight: 14.1933024g | Gold Purity: 18kt | Diamond Weight: 3.358 ct | Diamond Count: 1 | Diamond Shapes: Round | Diamond Quality: VS
variation,14078-Ro-3,Lumière Gold Tennis Bracelet - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 14.1933024g | Diamond Weight: 3.358 carats,,,taxable,,1,10,2,0,0,14.19,,,,0,,,168177.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R4.jpg",,,PARENT-2-14078,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: TB-14078 | Gold Weight: 14.1933024g | Gold Purity: 18kt | Diamond Weight: 3.358 ct | Diamond Count: 1 | Diamond Shapes: Round | Diamond Quality: VS
variation,14078-Wh-4,Lumière Gold Tennis Bracelet - White Gold 14kt,1,0,visible,,Metal: White Gold 14kt | Gold Weight: 14.1933024g | Diamond Weight: 3.358 carats,,,taxable,,1,10,2,0,0,14.19,,,,0,,,,,,,"https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W4.jpg",,,PARENT-2-14078,,,,,,0,Metal Type,White Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: TB-14078 | Gold Weight: 14.1933024g | Gold Purity: 18kt | Diamond Weight: 3.358 ct | Diamond Count: 1 | Diamond Shapes: Round | Diamond Quality: VS
variation,14078-Ye-5,Lumière Gold Tennis Bracelet - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 14.1933024g | Diamond Weight: 3.358 carats,,,taxable,,1,10,2,0,0,14.19,,,,0,,,168177.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y4.jpg",,,PARENT-2-14078,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: TB-14078 | Gold Weight: 14.1933024g | Gold Purity: 18kt | Diamond Weight: 3.358 ct | Diamond Count: 1 | Diamond Shapes: Round | Diamond Quality: VS
